customer_id,tenure_days,mrr_brl,seats,logins_7d,logins_30d,feature_adoption,avg_session_min,api_calls_7d,days_since_last_login,tickets_30d,failed_pay_90d,nps_last,is_anomalous
C000108,309,2760.22,16,69,284,0.446,9.6,660,5,0,0,3.9,0
C005485,186,5468.34,16,66,251,0.397,31.8,2281,17,0,0,6.8,0
C006999,288,15897.83,11,37,127,0.779,26.4,3095,2,0,0,4.1,0
C003985,204,1294.69,16,88,347,0.799,26.4,1762,8,0,0,4.5,0
C003112,239,7069.81,8,32,130,0.747,14.7,1340,1,0,0,4.8,0
C004041,244,7533.7,18,78,327,0.703,14.0,1068,6,0,0,7.5,0
C003014,315,12157.23,13,30,113,0.658,26.1,1053,1,0,0,6.8,0
C006608,847,35447.88,11,67,234,0.376,31.2,3047,5,0,0,4.2,0
C004220,745,1838.74,17,76,311,0.63,15.1,513,1,0,0,5.6,0
C008751,271,12639.76,19,81,341,0.561,28.2,1438,1,0,0,4.8,0
C005666,382,5117.47,12,55,220,0.977,18.3,171,2,0,0,5.3,0
C009226,87,2243.36,16,78,278,0.829,35.3,1664,12,0,0,4.6,0
C008031,347,5229.57,13,65,219,0.98,14.4,1274,0,0,0,5.8,0
C009887,566,4415.69,7,25,106,0.384,28.7,2483,0,0,0,7.2,0
C001852,203,7219.68,17,83,328,0.578,25.3,706,14,0,0,5.4,0
C001124,427,8059.79,17,58,248,0.796,22.4,348,12,0,0,7.4,0
C003044,307,5206.82,21,88,362,0.622,20.5,615,4,0,0,3.6,0
C003370,314,5412.74,15,85,327,0.499,24.7,226,2,0,0,10.0,0
C006830,184,4347.69,15,66,246,0.16,20.5,718,0,0,0,4.1,0
A000960,217,5192.46,13,6,54,0.388,6.4,177,2,0,0,0.1,1
C003089,723,2657.41,11,56,207,0.547,23.1,288,9,0,0,6.9,0
C009406,323,1720.77,19,92,339,0.355,19.5,914,7,0,0,10.0,0
C009536,219,653.31,16,3,229,0.827,20.1,52,8,0,1,9.9,0
C004994,653,4737.03,14,59,229,0.783,30.2,258,0,0,0,9.3,0
C004210,411,2570.36,7,32,128,0.787,15.3,1609,1,0,1,4.9,0
A000928,469,1353.59,20,4,57,0.174,3.9,39,3,0,0,4.9,1
C006168,683,7067.64,21,78,300,0.787,23.2,3393,14,0,0,9.8,0
C004689,703,5276.58,10,32,116,0.754,29.5,2937,0,0,0,6.4,0
C006878,535,4827.77,10,50,195,0.325,14.4,1206,1,1,0,3.1,0
A000724,762,3178.07,16,0,0,0.167,8.0,53,30,2,0,4.4,1
C008413,94,2101.01,9,55,186,0.72,25.3,715,2,0,0,8.7,0
A000137,492,3511.93,14,3,58,0.09,5.8,25,26,0,1,5.2,1
A000964,202,4031.15,17,3,28,0.185,5.8,790,14,0,0,3.9,1
C009346,436,6797.87,11,54,188,0.63,28.8,1053,4,0,0,10.0,0
C002515,115,8899.78,13,59,252,0.943,25.5,955,3,0,0,7.6,0
C002909,518,2742.08,15,76,323,0.853,27.0,1112,3,1,0,7.3,0
C005939,409,3278.58,17,55,251,0.653,21.8,564,5,1,2,7.8,0
C005016,222,4693.25,12,70,248,0.53,17.3,1038,0,0,0,3.6,0
C009596,750,9721.77,25,152,561,0.692,20.3,2164,0,0,0,5.9,0
C008770,177,1840.79,9,62,215,0.538,18.8,1524,1,2,0,4.4,0
C004787,231,4983.11,14,62,230,0.803,23.0,961,0,0,0,4.3,0
C002603,132,4476.92,7,34,137,0.846,15.4,2853,1,0,0,4.0,0
C007780,283,4688.42,16,72,261,0.799,7.5,2195,12,0,0,10.0,0
C002827,262,7085.19,19,105,411,0.759,17.1,1802,3,0,0,6.9,0
C001119,597,7109.72,10,47,186,0.332,25.2,2882,0,0,0,6.8,0
C003486,558,5017.86,15,44,161,0.779,15.0,804,8,0,0,8.1,0
C002981,1145,4816.37,16,70,264,0.652,25.3,900,3,0,0,4.5,0
A000494,724,3854.37,24,22,165,0.48,8.4,148,1,0,2,5.0,1
C007720,379,1836.8,17,70,274,0.777,21.4,317,3,0,0,2.7,0
C006576,412,14336.87,17,86,373,0.634,23.6,704,0,0,0,9.1,0
C001723,332,4932.19,13,50,224,0.511,13.6,371,11,0,0,10.0,0
C007235,968,2674.64,11,50,203,0.947,23.0,3092,0,0,0,6.8,0
