tenure_months,day_of_month,invoice_amount,avg_ticket,gateway_error_code,card_brand,payment_history_score,failure_count_90d,hour_of_day,day_of_week,attempt_count,ltv_estimated,recovered
53,13,307.14,326.3,card_declined,elo,0.61,2,22,3,2,1352.29,1
14,3,141.6,149.31,insufficient_funds,amex,0.456,0,11,2,3,152.13,1
16,24,104.97,110.1,insufficient_funds,visa,0.768,5,13,0,1,128.69,1
10,25,119.87,102.69,insufficient_funds,visa,0.465,0,11,6,4,119.87,1
53,11,92.94,99.69,generic_decline,mastercard,0.902,2,18,3,4,413.15,0
52,16,36.11,36.11,card_declined,mastercard,0.805,3,16,1,1,146.57,1
14,24,154.2,155.32,insufficient_funds,elo,0.715,2,16,4,2,158.25,0
6,6,82.85,71.69,processing_error,elo,0.411,2,18,5,1,82.85,1
3,19,33.65,30.5,insufficient_funds,amex,0.586,1,21,1,1,33.65,1
0,14,162.8,182.87,insufficient_funds,visa,0.245,2,12,6,3,162.8,0
3,6,66.97,63.26,insufficient_funds,hipercard,0.66,1,19,3,2,66.97,0
38,25,119.64,115.83,card_declined,hipercard,0.669,1,16,1,3,335.01,0
6,10,87.48,79.32,insufficient_funds,visa,0.634,1,22,4,1,87.48,1
13,28,215.77,224.33,expired_card,visa,0.312,3,3,4,2,215.77,1
0,17,118.86,127.44,insufficient_funds,elo,0.602,1,11,6,2,118.86,1
7,16,44.59,50.23,card_declined,mastercard,0.521,1,10,6,1,44.59,0
19,14,130.12,132.54,processing_error,visa,0.626,0,6,4,4,185.02,1
13,13,133.95,124.93,insufficient_funds,visa,0.696,4,18,4,2,133.95,0
2,25,153.95,134.13,insufficient_funds,mastercard,0.445,2,20,1,2,153.95,0
1,20,245.32,228.11,expired_card,amex,0.6,0,16,4,1,245.32,0
33,24,56.56,58.57,insufficient_funds,elo,0.663,2,21,5,3,145.77,1
14,14,176.93,202.09,insufficient_funds,hipercard,0.663,3,17,6,2,205.91,0
0,8,21.12,18.45,expired_card,mastercard,0.642,2,17,1,1,21.12,1
11,4,87.87,84.93,insufficient_funds,elo,0.637,1,11,3,1,87.87,1
68,24,76.59,80.43,processing_error,visa,0.758,1,23,6,1,432.98,1
