order_id,payment_sequential,payment_type,payment_installments,payment_value,order_purchase_timestamp,customer_state,faixa_valor,estrato,hour_of_day,day_of_week,day_of_month
a42e0d143aa73cfc5268d6756f36e7cf,1,boleto,1,24.09,2018-01-08 20:49:43,PR,Q1,boleto|Q1,20,0,8
f216085102c6b913fcbf7f5bcadcb454,1,boleto,1,30.95,2017-03-01 22:43:47,SP,Q1,boleto|Q1,22,2,1
8b3e71403c430eeafc548cd871850674,1,boleto,1,31.0,2017-12-06 13:40:17,MG,Q1,boleto|Q1,13,2,6
22fc44f6f4d13ad1c7a07054e0b42e24,1,boleto,1,33.75,2017-07-24 21:44:14,SP,Q1,boleto|Q1,21,0,24
3c53e9578b571a4df6397b338ae76ae2,1,boleto,1,35.38,2018-06-06 12:17:06,SP,Q1,boleto|Q1,12,2,6
df339f81c46dc0bf186cb6307d7cdb6a,1,boleto,1,35.4,2017-12-22 16:23:48,PR,Q1,boleto|Q1,16,4,22
daa4b4ce7bfba46a0325467bc139ee66,1,boleto,1,39.03,2018-04-23 18:09:44,PE,Q1,boleto|Q1,18,0,23
19419b6180c4c7b9f57c1753cef7b41f,1,boleto,1,41.97,2018-07-19 11:38:46,RJ,Q1,boleto|Q1,11,3,19
1a9324555dd1b3d5bfde1ebbe9f765b2,1,boleto,1,43.0,2017-10-02 17:14:23,SP,Q1,boleto|Q1,17,0,2
319bc0c166b503154f66246b54a1751c,1,boleto,1,43.95,2017-05-05 10:12:43,PR,Q1,boleto|Q1,10,4,5
fa464e66c13ab4ea69b7fb3c7888ea0c,1,boleto,1,45.0,2017-12-04 16:10:46,RJ,Q1,boleto|Q1,16,0,4
da32fa81177a5a6ac35177b05714742d,1,boleto,1,46.69,2017-06-12 21:48:33,MG,Q1,boleto|Q1,21,0,12
099be5827a2f9692b1c1ad111affc9d1,1,boleto,1,46.78,2017-09-06 19:58:48,SP,Q1,boleto|Q1,19,2,6
9690a873af5482db61b7058fa595dd66,1,boleto,1,49.4,2018-01-16 04:58:18,RS,Q1,boleto|Q1,4,1,16
525c195315397b46cc4a8b1727d1d426,1,boleto,1,55.91,2017-12-15 08:44:39,SP,Q1,boleto|Q1,8,4,15
