days_since_last,features_used_30d,mrr,evento_cancelamento,evento_downgrade,evento_sessao,event,risk_regra,churn
8.0,3.0,659.53,0.0,0.0,1.0,Session Started,0.307,1
3.0,2.0,2474.07,0.0,0.0,1.0,Session Started,0.25,0
9.0,6.0,1981.24,0.0,0.0,1.0,Session Started,0.21,1
7.0,1.0,2444.77,0.0,0.0,1.0,Session Started,0.403,0
1.0,2.0,2636.66,0.0,0.0,1.0,Session Started,0.203,0
13.0,1.0,856.68,0.0,0.0,1.0,Session Started,0.543,0
8.0,2.0,828.47,0.0,0.0,1.0,Session Started,0.367,1
8.0,1.0,3203.32,0.0,0.0,1.0,Session Started,0.427,0
1.0,1.0,1092.83,0.0,0.0,1.0,Session Started,0.263,1
3.0,2.0,200.31,0.0,0.0,1.0,Session Started,0.25,0
3.0,1.0,3038.15,0.0,0.0,1.0,Session Started,0.31,0
10.0,1.0,789.18,0.0,1.0,0.0,Downgrade Clicked,0.75,1
5.0,8.0,2627.29,0.0,0.0,1.0,Session Started,0.117,0
8.0,1.0,5509.66,0.0,0.0,1.0,Session Started,0.427,0
3.0,2.0,1832.45,0.0,0.0,1.0,Session Started,0.25,0
2.0,2.0,4010.27,0.0,0.0,1.0,Session Started,0.227,0
4.0,1.0,2044.76,0.0,0.0,1.0,Session Started,0.333,0
0.0,2.0,6437.81,0.0,0.0,1.0,Session Started,0.18,0
8.0,1.0,773.03,0.0,0.0,1.0,Session Started,0.427,1
5.0,3.0,1796.2,0.0,0.0,1.0,Session Started,0.237,1
8.0,1.0,3098.05,0.0,0.0,1.0,Session Started,0.427,1
2.0,1.0,1552.58,0.0,0.0,1.0,Session Started,0.287,0
12.0,1.0,4544.96,0.0,0.0,1.0,Session Started,0.52,1
9.0,7.0,1279.68,0.0,0.0,1.0,Session Started,0.21,1
8.0,4.0,9466.33,0.0,0.0,1.0,Session Started,0.247,0
1.0,9.0,9874.96,0.0,0.0,1.0,Session Started,0.023,0
3.0,2.0,2265.74,0.0,0.0,1.0,Session Started,0.25,0
0.0,2.0,2813.21,0.0,0.0,1.0,Session Started,0.18,0
1.0,2.0,4690.7,0.0,0.0,1.0,Session Started,0.203,0
7.0,7.0,699.41,0.0,0.0,1.0,Session Started,0.163,0
7.0,2.0,632.96,0.0,0.0,1.0,Session Started,0.343,1
12.0,2.0,4940.07,0.0,0.0,1.0,Session Started,0.46,0
2.0,2.0,2251.14,0.0,0.0,1.0,Session Started,0.227,0
3.0,2.0,1508.39,0.0,0.0,1.0,Session Started,0.25,0
3.0,1.0,1824.2,0.0,0.0,1.0,Session Started,0.31,1
1.0,2.0,268.05,0.0,0.0,1.0,Session Started,0.203,0
1.0,1.0,1552.39,0.0,1.0,0.0,Downgrade Clicked,0.75,0
3.0,6.0,989.86,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
2.0,2.0,3768.59,0.0,0.0,1.0,Session Started,0.227,0
6.0,5.0,4007.91,0.0,0.0,1.0,Session Started,0.14,0
3.0,2.0,2867.93,0.0,0.0,1.0,Session Started,0.25,1
8.0,3.0,2480.88,0.0,0.0,1.0,Session Started,0.307,0
7.0,1.0,545.73,0.0,1.0,0.0,Downgrade Clicked,0.75,1
2.0,8.0,2900.14,0.0,0.0,1.0,Session Started,0.047,0
8.0,2.0,2991.46,0.0,0.0,1.0,Session Started,0.367,0
8.0,1.0,4895.9,0.0,0.0,1.0,Session Started,0.427,0
3.0,1.0,9843.51,0.0,0.0,1.0,Session Started,0.31,0
2.0,1.0,466.82,0.0,1.0,0.0,Downgrade Clicked,0.75,1
7.0,2.0,1325.07,0.0,0.0,1.0,Session Started,0.343,0
1.0,3.0,998.43,0.0,0.0,1.0,Session Started,0.143,0
1.0,9.0,2075.6,0.0,0.0,1.0,Session Started,0.023,0
0.0,2.0,1827.53,0.0,0.0,1.0,Session Started,0.18,0
8.0,2.0,1499.27,0.0,0.0,1.0,Session Started,0.367,1
6.0,2.0,4113.72,0.0,0.0,1.0,Session Started,0.32,0
7.0,5.0,749.1,0.0,0.0,1.0,Session Started,0.163,0
8.0,6.0,786.11,0.0,1.0,0.0,Downgrade Clicked,0.75,1
3.0,1.0,796.81,0.0,0.0,1.0,Session Started,0.31,1
4.0,10.0,1355.25,0.0,0.0,1.0,Session Started,0.093,0
1.0,2.0,676.63,0.0,0.0,1.0,Session Started,0.203,0
1.0,4.0,1739.13,0.0,0.0,1.0,Session Started,0.083,0
6.0,11.0,1583.84,0.0,0.0,1.0,Session Started,0.14,0
3.0,3.0,963.71,0.0,0.0,1.0,Session Started,0.19,0
4.0,1.0,3637.36,0.0,0.0,1.0,Session Started,0.333,0
8.0,2.0,1724.0,0.0,0.0,1.0,Session Started,0.367,1
5.0,1.0,4230.68,0.0,1.0,0.0,Downgrade Clicked,0.75,1
4.0,4.0,1546.83,0.0,0.0,1.0,Session Started,0.153,0
4.0,1.0,1773.38,0.0,0.0,1.0,Session Started,0.333,0
2.0,2.0,1152.6,0.0,0.0,1.0,Session Started,0.227,1
0.0,8.0,1797.88,0.0,0.0,1.0,Session Started,0.0,0
3.0,1.0,3196.41,0.0,0.0,1.0,Session Started,0.31,0
2.0,2.0,1301.06,0.0,0.0,1.0,Session Started,0.227,1
3.0,2.0,2737.31,0.0,0.0,1.0,Session Started,0.25,0
8.0,2.0,943.69,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
2.0,1.0,3318.41,0.0,0.0,1.0,Session Started,0.287,0
0.0,1.0,1136.92,0.0,0.0,1.0,Session Started,0.24,0
2.0,2.0,3573.65,0.0,0.0,1.0,Session Started,0.227,1
2.0,2.0,1898.43,0.0,0.0,1.0,Session Started,0.227,1
6.0,2.0,6104.39,0.0,0.0,1.0,Session Started,0.32,1
4.0,1.0,718.2,0.0,0.0,1.0,Session Started,0.333,0
8.0,2.0,555.05,0.0,0.0,1.0,Session Started,0.367,0
6.0,2.0,1104.37,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
3.0,1.0,597.24,0.0,0.0,1.0,Session Started,0.31,0
8.0,3.0,598.13,0.0,0.0,1.0,Session Started,0.307,0
1.0,1.0,2972.74,0.0,0.0,1.0,Session Started,0.263,1
0.0,2.0,1802.01,0.0,0.0,1.0,Session Started,0.18,0
0.0,8.0,1231.83,0.0,0.0,1.0,Session Started,0.0,0
7.0,2.0,1326.67,0.0,0.0,1.0,Session Started,0.343,0
3.0,2.0,1121.26,1.0,0.0,0.0,Cancellation Page Viewed,0.9,0
1.0,1.0,6770.26,0.0,0.0,1.0,Session Started,0.263,1
3.0,1.0,1003.85,0.0,0.0,1.0,Session Started,0.31,0
1.0,1.0,627.84,0.0,1.0,0.0,Downgrade Clicked,0.75,1
7.0,3.0,3418.1,0.0,0.0,1.0,Session Started,0.283,0
3.0,5.0,1521.41,0.0,0.0,1.0,Session Started,0.07,0
3.0,1.0,9237.43,0.0,0.0,1.0,Session Started,0.31,0
2.0,1.0,1186.82,0.0,0.0,1.0,Session Started,0.287,1
5.0,1.0,3557.41,0.0,1.0,0.0,Downgrade Clicked,0.75,1
3.0,2.0,4297.37,0.0,0.0,1.0,Session Started,0.25,0
0.0,2.0,1191.46,0.0,0.0,1.0,Session Started,0.18,1
1.0,2.0,997.91,0.0,0.0,1.0,Session Started,0.203,0
12.0,7.0,3271.79,0.0,0.0,1.0,Session Started,0.28,1
9.0,1.0,2863.83,0.0,0.0,1.0,Session Started,0.45,1
7.0,2.0,584.94,0.0,0.0,1.0,Session Started,0.343,0
2.0,2.0,733.08,0.0,0.0,1.0,Session Started,0.227,1
12.0,1.0,237.66,0.0,0.0,1.0,Session Started,0.52,0
8.0,7.0,2911.17,0.0,0.0,1.0,Session Started,0.187,0
7.0,1.0,1466.36,0.0,0.0,1.0,Session Started,0.403,1
3.0,3.0,1588.08,0.0,0.0,1.0,Session Started,0.19,0
2.0,3.0,467.24,0.0,0.0,1.0,Session Started,0.167,0
1.0,8.0,751.08,0.0,0.0,1.0,Session Started,0.023,0
9.0,2.0,1233.53,0.0,0.0,1.0,Session Started,0.39,0
3.0,1.0,1055.89,0.0,0.0,1.0,Session Started,0.31,0
1.0,5.0,1986.78,0.0,0.0,1.0,Session Started,0.023,0
