customer_id,data_cobranca,tenure_months,day_of_month,day_of_week,hour_of_day,invoice_amount,avg_ticket,ciclo,gateway_error_code,metodo_pagamento,payment_history_score,failure_count_90d,attempt_count,ltv_estimated,recovered
CLI_000002,2026-06-28,2,28,6,8,4285.61,4002.1,mensal,insufficient_funds,boleto,0.642,0,1,4285.61,0
CLI_000002,2026-07-11,2,11,5,21,4285.61,4002.1,mensal,limit_exceeded,boleto,0.642,1,2,4285.61,1
CLI_000002,2026-09-10,2,10,3,16,3435.07,4002.1,proporcional,generic_decline,boleto,0.642,2,1,3435.07,0
CLI_000005,2026-07-13,8,13,0,0,128.22,266.33,proporcional,insufficient_funds,pix_automatico,0.557,0,1,153.29,0
CLI_000005,2026-08-04,8,4,1,19,404.44,266.33,mensal,insufficient_funds,pix_automatico,0.557,1,1,404.44,0
CLI_000008,2026-04-01,0,1,2,15,1773.44,1697.38,mensal,processing_error,pix_automatico,0.542,0,1,1773.44,1
CLI_000008,2026-05-10,0,10,6,20,1545.26,1697.38,proporcional,insufficient_funds,pix_automatico,0.542,1,1,1545.26,0
CLI_000008,2026-06-05,0,5,4,23,1773.44,1697.38,mensal,insufficient_funds,pix_automatico,0.542,2,1,1773.44,1
CLI_000009,2026-06-16,0,16,1,20,677.9,677.9,mensal,insufficient_funds,pix_automatico,0.53,0,1,677.9,1
CLI_000009,2026-06-18,0,18,3,14,677.9,677.9,mensal,processing_error,pix_automatico,0.53,1,2,677.9,0
CLI_000009,2026-09-11,0,11,4,21,677.9,677.9,mensal,processing_error,pix_automatico,0.53,2,1,677.9,0
CLI_000014,2026-04-07,7,7,1,22,2667.01,2881.15,proporcional,insufficient_funds,pix_automatico,0.588,0,1,2667.01,1
CLI_000014,2026-07-17,7,17,4,8,3095.29,2881.15,mensal,insufficient_funds,pix_automatico,0.588,0,1,3095.29,1
CLI_000016,2026-06-24,61,24,2,18,2762.98,7464.6,mensal,generic_decline,pix_automatico,0.685,0,1,36047.8,1
CLI_000016,2026-07-13,61,13,0,0,27629.8,7464.6,anual,processing_error,pix_automatico,0.685,1,1,36047.8,1
CLI_000016,2026-07-16,61,16,3,15,2762.98,7464.6,mensal,processing_error,pix_automatico,0.685,2,2,36047.8,1
CLI_000016,2026-07-17,61,17,4,17,2762.98,7464.6,mensal,insufficient_funds,pix_automatico,0.685,3,3,36047.8,0
CLI_000016,2026-07-19,61,19,6,10,1404.28,7464.6,proporcional,insufficient_funds,pix_automatico,0.685,4,4,36047.8,1
CLI_000020,2026-04-22,0,22,2,10,1461.78,1461.78,mensal,insufficient_funds,pix_automatico,0.592,0,1,1461.78,0
