customer_id,tenure_days,mrr_brl,seats,logins_7d,logins_30d,feature_adoption,avg_session_min,api_calls_7d,days_since_last_login,tickets_30d,failed_pay_90d,nps_last,is_anomalous
CLI_000000,353,2566.82,18,98,338,0.742,27.5,1168,7,0,0,9.2,0
CLI_000001,143,546.76,6,26,102,0.523,27.1,517,12,1,0,7.0,0
CLI_000002,88,4285.61,23,106,114,0.632,24.7,696,1,0,3,7.7,0
CLI_000003,153,5332.89,84,438,1572,0.731,24.9,837,2,0,0,9.3,0
CLI_000004,30,200.0,2,8,28,0.595,20.4,843,2,0,0,8.7,0
CLI_000005,267,404.44,5,20,83,0.428,24.3,2167,2,0,2,8.1,0
CLI_000006,30,2094.39,20,107,369,0.759,11.4,516,0,2,0,6.1,0
CLI_000007,352,1256.8,14,67,253,0.688,22.4,744,0,0,0,10.0,0
CLI_000008,30,1773.44,15,53,217,0.85,19.0,1872,1,0,0,6.3,0
CLI_000009,30,677.9,9,46,155,0.619,27.2,1360,3,0,2,10.0,0
CLI_000010,2000,4970.66,60,258,1092,0.805,15.4,998,12,0,0,9.1,0
CLI_000011,274,4422.5,25,97,433,0.898,27.2,1653,1,0,0,8.1,0
CLI_000012,97,1950.68,28,135,516,0.733,26.6,1603,6,0,0,6.6,0
CLI_000013,1273,6609.92,41,161,657,0.909,30.3,1672,9,1,0,7.2,0
CLI_000014,220,3095.29,29,142,548,0.762,20.6,913,14,0,1,8.4,0
CLI_000015,32,673.05,6,25,101,0.679,31.7,476,2,0,0,4.0,0
CLI_000016,1878,2762.98,16,88,333,0.606,22.2,5717,0,0,3,4.6,0
CLI_000017,784,600.21,8,3,41,0.181,4.9,83,2,0,0,4.8,1
CLI_000018,30,4965.24,47,267,1092,0.764,29.1,734,0,0,0,7.2,0
CLI_000019,173,1707.16,13,65,257,0.737,28.8,1384,13,0,0,6.4,0
CLI_000020,30,1461.78,8,45,176,0.863,22.8,1043,3,0,0,3.1,0
CLI_000021,890,826.28,4,21,82,0.734,30.3,1015,4,0,0,5.1,0
CLI_000022,1108,7375.53,82,397,1590,0.927,22.8,1888,5,0,0,7.6,0
CLI_000023,2000,1513.67,16,53,244,0.773,16.3,623,8,0,0,10.0,0
CLI_000024,86,1104.8,12,40,149,0.839,12.4,818,1,0,0,8.3,0
CLI_000025,646,1205.98,10,48,189,0.533,13.1,829,8,0,0,3.6,0
CLI_000026,1586,3334.76,29,193,693,0.782,25.6,1183,1,0,0,9.0,0
CLI_000027,30,2752.49,18,14,125,0.788,6.9,92,14,0,0,0.0,1
CLI_000028,941,2906.32,35,145,624,0.54,16.4,133,4,0,0,8.0,0
CLI_000029,62,2967.41,17,89,375,0.789,19.3,1042,6,0,3,4.1,0
CLI_000030,211,21224.15,175,785,2926,0.551,31.9,7569,0,1,0,8.3,0
CLI_000031,30,1133.0,9,38,142,0.954,28.3,2734,5,0,0,7.2,0
CLI_000032,392,1003.17,11,39,180,0.834,26.8,4376,1,0,0,10.0,0
CLI_000033,152,709.22,7,26,117,0.571,14.9,1748,0,0,0,4.4,0
CLI_000034,119,3671.58,32,130,592,0.461,24.2,819,4,0,0,1.3,0
CLI_000035,401,6623.1,83,304,1316,0.725,30.0,2061,3,0,0,3.5,0
CLI_000036,30,1585.98,19,85,317,0.814,26.7,3832,3,0,0,6.6,0
CLI_000037,299,688.02,5,22,80,0.748,22.6,682,16,1,0,7.4,0
CLI_000038,328,700.54,6,32,5,0.325,22.1,321,2,0,0,9.4,0
CLI_000039,835,3820.67,50,1,1011,0.755,20.5,706,1,0,0,4.5,0
CLI_000040,1608,4250.29,15,71,294,0.54,33.3,1892,7,1,0,1.3,0
CLI_000041,1852,3376.61,16,67,305,0.633,15.7,669,1,1,0,10.0,0
CLI_000042,30,841.06,5,21,87,0.36,25.0,1469,17,0,0,5.1,0
CLI_000043,1280,2361.34,17,67,266,0.503,20.6,1161,2,0,2,3.6,0
CLI_000044,30,2067.69,22,113,378,0.749,20.6,188,8,0,1,1.7,0
CLI_000045,30,2325.04,13,87,334,0.572,16.1,963,0,0,1,6.3,0
CLI_000046,1328,4925.31,45,191,697,0.772,12.8,3270,9,0,0,7.0,0
