customer_id,mrr,billing_profile,tenure_months,seats,satisfacao,fit_produto,pressao_preco,saude_financeira
CLI_000000,2566.82,PJ,11,18,0.5629,0.522,0.3029,0.759
CLI_000001,546.76,PJ,4,6,0.8841,0.8065,0.2008,0.7351
CLI_000002,4285.61,PJ,2,23,0.572,0.813,0.655,0.8605
CLI_000003,5332.89,freelancer,5,84,0.7421,0.8134,0.7681,0.5291
CLI_000004,200.0,PJ,0,2,0.5757,0.4966,0.4906,0.5292
CLI_000005,404.44,CLT,8,5,0.4779,0.4831,0.3122,0.6768
CLI_000006,2094.39,CLT,0,20,0.7703,0.691,0.3923,0.8916
CLI_000007,1256.8,CLT,11,14,0.8701,0.9459,0.2808,0.9177
CLI_000008,1773.44,PJ,0,15,0.6944,0.7518,0.4934,0.7287
CLI_000009,677.9,CLT,0,9,0.5547,0.6258,0.3318,0.7104
CLI_000010,4970.66,PJ,68,60,0.4571,0.5718,0.3419,0.7236
CLI_000011,4422.5,CLT,9,25,0.7377,0.6376,0.5761,0.5763
CLI_000012,1950.68,CLT,3,28,0.754,0.7865,0.5291,0.7391
CLI_000013,6609.92,PJ,41,41,0.9051,0.769,0.3544,0.7244
CLI_000014,3095.29,PJ,7,29,0.887,0.8375,0.7066,0.6955
CLI_000015,673.05,CLT,1,6,0.7655,0.8406,0.3567,0.6533
CLI_000016,2762.98,CLT,61,16,0.5761,0.5835,0.3693,0.5269
CLI_000017,600.21,CLT,25,8,0.7017,0.7481,0.607,0.8666
CLI_000018,4965.24,CLT,0,47,0.7661,0.7036,0.464,0.6802
CLI_000019,1707.16,freelancer,5,13,0.6257,0.512,0.2234,0.3058
CLI_000020,1461.78,CLT,0,8,0.694,0.7031,0.5372,0.768
CLI_000021,826.28,CLT,29,4,0.7105,0.6076,0.2058,0.7722
CLI_000022,7375.53,CLT,36,82,0.5011,0.5543,0.3949,0.7003
CLI_000023,1513.67,PJ,70,16,0.9205,0.8233,0.3934,0.6147
CLI_000024,1104.8,CLT,2,12,0.8329,0.845,0.347,0.7806
CLI_000025,1205.98,CLT,21,10,0.9464,0.954,0.4178,0.6641
CLI_000026,3334.76,CLT,52,29,0.9123,0.8718,0.3384,0.5919
CLI_000027,2752.49,CLT,0,18,0.6404,0.855,0.2966,0.6949
CLI_000028,2906.32,CLT,30,35,0.6456,0.6326,0.4159,0.5546
CLI_000029,2967.41,CLT,2,17,0.7959,0.861,0.4585,0.6069
CLI_000030,21224.15,freelancer,6,175,0.7732,0.627,0.4937,0.5279
CLI_000031,1133.0,CLT,0,9,0.6937,0.5466,0.5152,0.7393
CLI_000032,1003.17,CLT,12,11,0.6263,0.7594,0.3694,0.7519
CLI_000033,709.22,CLT,5,7,0.5424,0.5496,0.2746,0.6655
CLI_000034,3671.58,CLT,3,32,0.6058,0.5137,0.391,0.921
CLI_000035,6623.1,CLT,13,83,0.6072,0.9104,0.552,0.7498
CLI_000036,1585.98,CLT,0,19,0.6907,0.8596,0.4958,0.5381
CLI_000037,688.02,CLT,9,5,0.8254,0.8718,0.2352,0.7222
CLI_000038,700.54,freelancer,10,6,0.5099,0.5849,0.3937,0.4683
CLI_000039,3820.67,CLT,27,50,0.6533,0.7476,0.2866,0.6491
CLI_000040,4250.29,freelancer,52,15,0.9076,0.9291,0.3492,0.3463
