customer_id,days_since_last,features_used_30d,mrr,evento_cancelamento,evento_downgrade,evento_sessao,event,risk_regra,churn
CLI_006304,7.0,10.0,5649.8,0.0,0.0,1.0,Session Started,0.163,0
CLI_006304,10.0,11.0,5649.8,0.0,0.0,1.0,Session Started,0.233,0
CLI_006304,8.0,9.0,5649.8,0.0,0.0,1.0,Session Started,0.187,0
CLI_100605,6.0,11.0,442.96,0.0,0.0,1.0,Session Started,0.14,0
CLI_100605,3.0,12.0,442.96,0.0,0.0,1.0,Session Started,0.07,0
CLI_100605,2.0,8.0,442.96,0.0,0.0,1.0,Session Started,0.047,0
CLI_100605,4.0,11.0,442.96,0.0,0.0,1.0,Session Started,0.093,0
CLI_100605,2.0,9.0,442.96,0.0,0.0,1.0,Session Started,0.047,1
CLI_033765,0.0,4.0,1914.08,0.0,0.0,1.0,Session Started,0.06,1
CLI_033765,2.0,5.0,1914.08,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_033765,0.0,4.0,1914.08,0.0,0.0,1.0,Session Started,0.06,0
CLI_033765,2.0,5.0,1914.08,0.0,0.0,1.0,Session Started,0.047,0
CLI_033765,2.0,6.0,1914.08,0.0,0.0,1.0,Session Started,0.047,0
CLI_033765,2.0,6.0,1914.08,0.0,1.0,0.0,Downgrade Clicked,0.75,0
CLI_058777,5.0,11.0,3508.41,0.0,0.0,1.0,Session Started,0.117,1
CLI_058777,9.0,9.0,3508.41,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_058777,10.0,11.0,3508.41,0.0,0.0,1.0,Session Started,0.233,0
CLI_037485,0.0,11.0,2607.85,0.0,0.0,1.0,Session Started,0.0,0
CLI_037485,3.0,8.0,2607.85,0.0,0.0,1.0,Session Started,0.07,0
CLI_038358,7.0,10.0,606.47,0.0,0.0,1.0,Session Started,0.163,1
CLI_038358,12.0,7.0,606.47,0.0,0.0,1.0,Session Started,0.28,1
CLI_038358,10.0,7.0,606.47,0.0,0.0,1.0,Session Started,0.233,0
CLI_031426,3.0,7.0,1591.75,0.0,0.0,1.0,Session Started,0.07,1
CLI_044177,2.0,7.0,2873.93,0.0,0.0,1.0,Session Started,0.047,0
CLI_044177,2.0,6.0,2873.93,0.0,0.0,1.0,Session Started,0.047,0
